date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-11,-1.539987,0.128332,-1.773319,1.216272,1.829264,-0.917606,-1.264234,-1.950316,-1.806021,-1.830073,-2.017347,1,168.54286079458868
2019-04-12,-1.291945,0.320128,-1.646373,2.04165,2.04165,-2.346671,-2.858499,-3.528003,-3.594556,-3.570394,-3.850705,1,171.9839155270221
2019-04-15,1.377907,1.598837,-0.290698,-1.674956,-1.674956,-0.597435,-1.161422,-1.637209,-1.912666,-1.846089,-2.091615,-1,169.10326113672784
2019-04-16,-0.598596,0.569817,-0.598596,1.011628,1.011628,-0.949646,-1.873688,-2.321296,-2.77852,-2.691283,-2.943207,1,170.81395691799474
2019-04-17,0.269295,1.117286,-0.148972,0.454702,0.454702,-0.689853,-1.87152,-2.420697,-3.016494,-3.043652,-3.209452,0,171.5906521290297
2019-04-18,-1.102629,0.084818,-1.323155,1.329284,1.329284,-1.3797,-2.666964,-3.320055,-4.061391,-4.128272,-4.262225,1,173.87157983738555
2019-04-22,-0.655256,0.468847,-0.994182,0.101781,0.101781,-1.242727,-2.3739,-3.088129,-3.814976,-4.03907,-4.135688,0,174.04854836648215
2019-04-23,-1.48599,0.416735,-1.957559,3.016438,3.016438,-2.997203,-4.623455,-5.52015,-6.172068,-6.591561,-6.688999,1,179.29861472968057
2019-04-24,6.849997,6.849997,-0.271123,-0.899271,-0.899271,-1.34344,-3.062003,-4.227059,-4.910233,-5.499652,-5.602941,-1,177.68623479791174
2019-04-25,1.616915,1.888286,-0.542741,-2.13025,-2.13025,1.069652,-0.46981,-1.760276,-2.520427,-3.230071,-3.431557,-1,173.901074592235
2019-04-26,-0.522267,0.044926,-1.078228,0.672773,0.672773,0.531252,-0.76206,-2.04546,-2.854011,-3.668701,-3.899052,1,175.07103320126237
2019-04-29,-0.675186,0.239942,-0.898387,0.640198,0.640198,0.135037,-1.154511,-2.329303,-3.166501,-3.961007,-4.316149,1,176.1918338855407
2019-04-30,0.464414,0.705013,-1.119069,-0.273422,-0.273422,0.001119,-0.507498,-1.783346,-2.692661,-3.404432,-3.903046,0,175.710086223
2019-05-01,1.547707,2.006916,-0.022677,-1.303715,-1.303715,0.829979,0.95697,-0.174597,-1.19546,-1.890477,-2.507096,-1,173.4193269296943
2019-05-02,0.710317,1.019648,-1.01392,-1.031805,-1.031805,1.616544,2.0118,1.103664,0.058898,-0.661113,-1.355211,-1,171.62997846882894
2019-05-03,-0.820646,0.056596,-0.9112,1.214413,1.214413,0.2411,0.778765,0.089045,-0.90003,-1.627998,-2.390088,1,173.7142744781886
2019-05-06,-1.00365,0.199589,-1.568203,-0.752731,-0.752731,0.562272,1.447879,0.864507,0.001849,-0.719976,-1.450027,-1,172.40667367986393
2019-05-07,1.712811,2.053027,-0.316753,-2.782847,-2.782847,2.474191,3.654388,3.69232,2.841449,2.103321,1.466057,-1,167.60886022435673
2019-05-08,1.241904,1.45582,-0.237685,-1.284608,-1.284608,2.845089,4.264068,4.825797,4.183862,3.417114,2.833892,-1,165.45574312034842
2019-05-09,-2.598082,0.645161,-2.836385,2.234239,2.234239,0.304563,1.704737,2.438826,2.014531,1.280474,0.712339,1,169.1524190614769
2019-05-10,-1.351976,0.265773,-2.074185,0.598663,0.598663,-0.709498,0.811186,1.684,1.455107,0.791651,0.234906,1,170.1650723113073
2019-05-13,1.517947,1.803679,-0.714328,-2.940837,-2.940837,1.421513,3.197809,4.406215,4.322579,3.795579,3.266589,-1,165.16079557185412
2019-05-14,-0.267078,1.139534,-0.39765,0.297637,0.297637,0.884325,2.284409,3.547194,3.908837,3.421736,2.905089,0,165.65237481934463
2019-05-15,-0.417362,0.90031,-1.2342,-0.457,-0.457,1.279513,2.237062,3.505446,4.206415,3.886249,3.353735,0,164.89534277820925
2019-05-16,-0.894907,0.341478,-1.030321,1.269974,1.269974,-0.249632,0.677068,1.931508,2.761849,2.618781,2.118661,1,166.98947037251872
2019-05-17,0.895594,1.226183,-0.162289,-2.048867,-2.048867,1.030234,2.16265,3.594799,4.596382,4.643626,4.219005,-1,163.56807880998494
2019-05-20,-0.697029,0.685215,-1.122334,1.755124,1.755124,-0.558804,0.04194,1.417292,2.563648,2.705417,2.405632,1,166.43890161532937
2019-05-21,-0.729076,0.332458,-0.939049,1.275917,1.275917,-1.466317,-1.161855,-0.143093,0.953048,1.398659,1.119122,1,168.5625239644883
2019-05-22,0.773866,1.140123,-0.502127,-1.265675,-1.265675,-0.018904,0.163634,0.856963,1.908967,2.5931,2.437587,-1,166.4290700303796
2019-05-23,2.561438,2.854872,-0.544076,-3.367202,-3.367202,2.698374,3.13608,3.923463,5.053491,5.900232,5.90985,-1,160.82506660898804
2019-05-24,-0.073157,0.481619,-1.566787,0.275095,0.275095,2.131317,2.301408,3.123819,4.337316,5.29708,5.468918,0,161.26748793172945
2019-05-28,0.378834,1.087621,-0.360503,-0.225568,-0.225568,1.674203,2.268117,2.880362,4.09813,5.208359,5.47782,0,160.9037192885865
2019-05-29,0.76397,1.010412,-0.277247,-0.824881,-0.824881,1.393629,2.737971,3.400489,4.458444,5.589058,6.156121,-1,159.5764553203622
2019-05-30,0.141774,0.8753,-0.388338,-0.049288,-0.049288,0.574493,2.450225,3.202449,4.073538,5.184984,5.971974,0,159.4978026407637
2019-05-31,-0.236289,0.472578,-0.379306,-0.869136,-0.869136,1.113046,2.786967,3.641753,4.558513,5.707748,6.616922,-1,158.11154916284053
2019-06-03,-1.091021,1.434263,-1.299418,1.448825,1.448825,-0.43886,1.121667,1.755848,2.650322,3.832302,4.814383,1,160.40230845614622
2019-06-04,-2.092025,0.077482,-2.092025,2.837879,2.837879,-2.695196,-1.758851,-1.060516,-0.408273,0.694481,1.738189,1,164.95433228790813
2019-06-05,-2.09957,0.017448,-2.157729,2.479437,2.479437,-3.929278,-4.107247,-3.320538,-2.775387,-1.8995,-0.925517,1,169.04427162702896
2019-06-06,-0.029073,0.360507,-1.337365,0.023264,0.023264,-2.81777,-3.972555,-3.177889,-2.69072,-2.024887,-1.118153,0,169.0835979668282
2019-06-07,-0.471346,0.235673,-0.85647,1.157111,1.157111,-2.417658,-4.47376,-4.127532,-3.748635,-3.159395,-2.304995,1,171.04008337184035
