date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2019-04-30,-0.487981,0.090367,-0.885596,0.453885,0.453885,-0.231339,-0.748238,-1.242201,-1.67,-2.07854,-2.431269,0,54.61886241140352
2019-05-01,0.801749,0.983965,-0.145773,-0.813302,-0.813302,0.477405,0.11844,-0.275753,-0.775251,-1.141707,-1.565601,-1,54.174646107678036
2019-05-02,0.384615,0.824176,-0.25641,-0.510204,-0.510204,0.842491,0.653846,0.312576,-0.194916,-0.486382,-0.926844,-1,53.898244852026615
2019-05-03,0.018252,0.419785,-0.219018,0.347985,0.347985,0.266472,0.354079,0.08639,-0.430634,-0.697377,-1.210143,0,54.08580284693293
2019-05-06,-1.731996,0.273473,-1.859617,0.109509,0.109509,0.072926,0.286235,0.019447,-0.433801,-0.70543,-1.177527,0,54.145031687429665
2019-05-07,0.37037,1.185185,-0.648148,-1.549681,-1.549681,1.155556,1.690741,1.516049,1.181514,0.832576,0.470283,-1,53.30595644705929
2019-05-08,0.66679,0.814966,-0.333395,-0.018519,-0.018519,0.844601,1.489165,1.460764,1.237266,0.857258,0.547372,0,53.29608497364317
2019-05-09,-1.456221,0.184332,-2.156682,0.481571,0.481571,0.232258,0.862673,0.946237,0.77788,0.405641,0.168411,0,53.55274328246234
2019-05-10,-1.610247,0.585544,-2.086002,0.737327,0.737327,-0.552608,-0.014639,0.223239,0.118939,-0.250971,-0.461258,1,53.94760221910722
2019-05-13,0.542766,0.973236,-0.074864,-2.232388,-2.232388,1.186599,1.959573,2.363217,2.304885,2.007202,1.809021,-1,52.743282462340325
2019-05-14,-0.905228,0.905228,-1.422501,1.310125,1.310125,-0.073896,0.419361,0.939713,0.93571,0.736032,0.479696,1,53.43428560146888
2019-05-15,-1.191349,0.458211,-1.319648,0.794384,0.794384,-0.652493,-0.430718,0.068426,0.137463,0.013196,-0.272431,1,53.858758958362124
2019-05-16,0.494143,0.933382,-0.164714,0.146628,0.146628,-0.655198,-0.56918,-0.123231,0.00549,-0.084187,-0.36838,0,53.9377307456911
2019-05-17,-0.568807,0.770642,-0.568807,-0.256223,-0.256223,-0.455046,-0.366972,0.022018,0.26055,0.224587,-0.056201,0,53.79953011786539
2019-05-20,0.54044,1.30451,-0.242266,-1.541284,-1.541284,1.188968,0.970928,1.411355,1.740589,1.730898,1.506473,-1,52.97032635091113
